页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,正负情感,子类目,总类别
5,4.95418E+15,文明上海,2023/10/7 12:21,为深入学习宣传贯彻党的二十大精神，弘扬红色文化、国旗文化，传承中华优秀传统文化，深化青少年爱党爱国教育，2023年6月，中共四大纪念馆、国旗教育展示厅携手上海市青少年活动中心共同启动了“为国旗添彩 我心中的2035-2050”——全国中小学生艺术创作展示系列活动。在国庆和中秋佳节到来之际，该活动表彰仪式在中共四大纪念馆国旗广场举行，这也是虹口区“五星红旗进万家”系列活动之一。市委宣传部副部长、市文明办主任潘敏，区委常委、宣传部部长吴强，团市委副书记邬斌出席。,0,0,0,,上海,上海,中国,,,
5,4.95289E+15,小樱桃头,2023/10/3 22:39,10/3 早上去福斯曼复诊牙齿～中午去万寿斋，路过中共四大纪念馆就顺便去红色打卡完成学校国庆作业，旁边都国旗教育展示厅还不错～ 吃完以后家门口都新公园李子园公园逛逛，孩子都无动力乐园不错～两个大滑梯我都滑的很开心～ ,0,1,0,上海,上海,上海,中国,,,
5,4.9518E+15,小马姐_HR,2023/9/30 22:32,中共四大纪念馆，观看了国旗，国歌，国徽的诞生过程。里面还有VR，军事模型的展示，国旗教育展示厅，还有很多纪念品展示等，打卡作业完成。 ,0,1,0,上海,上海,上海,中国,,,
5,4.95127E+15,赤峰日报,2023/9/29 11:12,【在国旗图案诞生地迎国庆，孩子们在中共四大纪念馆国旗广场“为国旗添彩”】全国十个省市孩子共绘国旗，1584幅作品畅想“我心中的2035-2050”……在国庆74周年即将到来之际，“为国旗添彩 我心中的2035-2050”全国中小学生艺术创作展示系列活动在中共四大纪念馆国旗广场举行表彰仪式。上海市虹口区是国旗图案孕育和诞生的地方，国旗设计者曾联松曾经居住在山阴路145弄6号。在上海虹口区#为国旗添彩#活动现场，孩子们挥动国旗表达对国家的热爱之情，对祖国美好未来的无限畅想。来自青海果洛藏族自治州的三年级小学生邓姜东通过视频说：“我的作品是《五星红旗我为你自豪》，我的创作理想是通过鲜艳的红色来表达我对祖国的热爱和向往。”（东方网·纵相视频 李宏洋 董浩帆） 东方网的微博视频,26,0,28,,,内蒙古,中国,,,
6,4.95111E+15,上海虹口,2023/9/29 0:43,【这场座谈研讨会，聚焦90年前在上海召开的一次具有国际影响的会议】9月26日，在市委党史研究室和区委宣传部的指导以及上海中共党史学会的支持下，由虹口区委党史办公室、中共四大纪念馆和广中路街道联合举办的“纪念远东反战会议召开九十周年，弘扬伟大建党精神伟大抗战精神”座谈研讨活动在国旗教育展示厅举行。,0,0,0,,,上海,中国,,,
6,4.9511E+15,颧国最美克夫相,2023/9/29 0:28,国庆节第一天要6点起床什么水平 不敢想象明天我贴着纹身贴去中共四大纪念馆这么红色的地方会有多乳化 ,0,5,3,上海,,上海,中国,,,
6,4.94883E+15,一盏清茗苦茶,2023/9/22 18:12,打卡 鲁迅纪念馆&amp;中共四大纪念馆 上海·上海鲁迅纪念馆 ,0,0,0,上海,,上海,中国,,,
6,4.94836E+15,晓风成语,2023/9/21 11:03,上海是党的诞生地：中共一大、二大、四大均在上海召开。1921年的一大会址是一座石库门式楼房，位于黄浦区兴业路76号树德里，1922年的二大会址位于静安区老成都北路辅德里，1925年的四大纪念馆位于虹口区四川北路绿地公园内，原址在虹口区东宝兴路254弄28支弄8号，毁于战火。 上海 ,0,0,1,上海,,上海,中国,,,
6,4.94808E+15,用户6218048971,2023/9/20 16:10,凝心铸魂，党的建设“走在前头”我们不忘立足党的诞生地、初心始发地、伟大建党精神孕育地的特殊地位，上海充分发挥遍布全市的红色资源优势，将中共一大纪念馆、中共二大会址纪念馆、中共四大纪念馆作为核心阵地，按照一月一讲频次进行课程开发，采取“现场开讲+线上直播”形式，每月定期开展主题鲜明、特点突出、形式多样、氛围庄重的党员教育活动。截至目前，共推出活动50余场，线上线下参与党员群众达1400余万人次。“初心讲堂”让红色场馆成为了党员教育的“红色殿堂”，在“初心之地”听党课、悟初心，让党的创新理论和伟大建党精神更加深入人心、打动人心。,0,0,0,上海,上海,上海,中国,,,
6,4.94472E+15,上海奉贤教育,2023/9/11 9:42,#奉贤教育新闻# 上海是中国共产党的诞生地，是中国红色文化的源头，拥有深厚的红色文化底蕴和革命红色传承精神。为深入学习宣传贯彻党的二十大精神，弘扬伟大建党精神，区教育系统各基层团委（团支部）组织带领团员青年们一起参观学习中共一大会址、中共四大纪念馆、鲁迅纪念馆等场馆……新时代的青年人在红色的记忆长河中追溯那些年的风雨沧桑，感叹那些年的阔步向前。为深入学习宣传贯彻党的二十大精神，带领青少年走进红色历史，待问中学团总支组织团员及入团积极分子们前往中共一大纪念馆、中国社会主义青年团中央机关旧址和中共二大会址纪念馆开展寻访活动，深入了解中国共产党的历史，跟随觉醒年代的历史足迹，寻找根植于城市血脉的红色基因。,0,0,1,,上海,上海,中国,,,
6,4.94379E+15,pierrechow,2023/9/8 20:03,散步随记3708 王志强雕塑（续2）①工农联盟（放置中共四大纪念馆）。②我爱你中国。③搏洪救亲人。④育苗。⑤沐浴。⑥海风。⑦潜水姑娘。⑧永恒的爱。⑨恋歌。 上海·上海油画雕塑院美术馆 ,0,0,0,上海,上海,上海,中国,,,
6,4.9437E+15,上海虹口,2023/9/8 14:28,【10个省市上千佳作，仅有10个人气王，由你决定！】为弘扬国旗文化，传承红色基因，促进青少年全面发展，中共四大纪念馆、国旗教育展示厅携手上海市青少年活动中心举办“为国旗添彩 我心中的2035-2050”----全国中小学生艺术创作征集活动。作为继2019、2020、2022年之后的第四届主题活动，国旗主题活动已受到了社会各界的广泛关注与高度参与。 10个省市上千佳作，仅有10个人气王，由你决定！,0,0,0,,上海,上海,中国,,,
6,4.94232E+15,中共一大纪念馆,2023/9/4 18:52,9月1日下午，中共四大纪念馆党支部书记、馆长童科一行来馆交流座谈。座谈会上双方就各项事业如何深度融合进行了探讨，依托市、区两级主管部门和中共一、二、四大场馆管理委员会的支持，用好丰富的红色资源，传承弘扬好红色文化。通过此次座谈交流，有效地增进了两馆之间的友谊，加深了彼此的资源共享，为红色文化宣传事业更好地合作发展打下了坚实的基础。,0,0,0,,,上海,中国,,,
6,4.93968E+15,魔都所司代,2023/8/28 12:01,奇想天外中共四大纪念馆隔壁其实还有一个国旗馆，也很不错#带着微博去旅行##喜欢上海的理由##魔都所司代# 上海·中共四大纪念馆 魔都所司代的微博视频 ,0,1,0,上海,上海,上海,中国,,,
7,4.93799E+15,廉洁上海,2023/8/23 20:00,#廉洁上海# 【走进中共四大会址纪念馆】请戳→网页链接 廉洁上海的微博视频 ,1,1,4,,上海,上海,中国,,,
7,4.93619E+15,文化虹口,2023/8/18 20:41,亲人眼中的周恩来，这场阅读分享会忆伟人精神2023上海书展于8月16日正式开幕。作为书展期间首场阅读分享活动，当天下午，周恩来侄孙女、上海翔宇公益基金会执行理事长周蓉女士在中共四大纪念馆做主题分享，为书迷们介绍其父亲、周恩来侄子周尔鎏所著的《我的七爸周恩来》一书。详情请戳链接：网页链接,0,0,0,,,上海,中国,,,
7,4.9361E+15,spring42022,2023/8/18 14:32,打造“红色殿堂”，让学习教育“触手可及”?“初心讲堂”是上海打造的党员理想信念教育品牌，它以中共一大、二大、四大纪念馆为核心阵地，联动全市600余处红色场馆，采取专家解读、理论辅导、“三人谈”等形式，推出《以中国式现代化全面推进中华民族伟大复兴》等精品课程，受到了广大党员的热烈欢迎。目前，“初心讲堂”已举办活动48讲，线上线下参加党员达1400余万人次。?上海是我们党的诞生地，党成立后党中央机关长期驻扎上海，要把这些丰富的红色资源作为主题教育的生动教材。?以此为遵循，上海充分发挥红色资源优势，立足党的诞生地、初心始发地、伟大建党精神发源地的特殊地位，把丰富的红色资源和鲜活的实践教材作为党员、干部教育的生动教材，以中共一大纪念馆为龙头，以全市612处红色革命旧址及纪念场馆为支撑，联动1万多个党群服务站点，在党的诞生地打造党员、干部教育的“红色殿堂”，让党员、干部学习教育“触手可及”。?而今，到红色场馆学理论、强党性、践初心已经成为上海各级党组织和党员干部开展学习教育的新常态。?“这里是宝藏地，是阿拉喜欢的课堂。”在黄浦区党建服务中心参加学习后，有党员如此表示。?黄浦区党建服务中心紧邻又新印刷所旧址，距中共一大纪念馆也咫尺之遥。步入大门，一楼展厅的墙面上，“走在前列、不辱门楣”八个大字格外醒目；临展区内，“《共产党宣言》与黄浦”微型展讲述着《共产党宣言》首部中文全译本在黄浦诞生的历史；巡礼区通过数字化地图，集中展示了黄浦区100余处红色遗址遗迹以及10个街道的党群服务阵地信息；二楼的组织生活室暨“黄浦首发首创”沉浸式体验馆，带领观众身临其境，回顾百年来首先发生或诞生在黄浦的红色故事。?这是上海党群服务阵地的一个缩影。?“党员工作生活在哪里，党组织就要覆盖到哪里，要让党员无论在哪里，都能找到组织，找到家。”2001年，为解决社区、社会转型期党员教育管理服务问题，上海在全国首创党员服务中心；2014年，更名为街镇社区党建服务中心；2019年，街镇社区党建服务中心升级为党群服务中心。?十八大以来，上海深入践行“人民城市”重要理念，结合“15分钟社区生活圈”行动，根据党员群众集聚度、服务半径可及度，消除“空白点”、织密“连心网”，重点加强一江一河、楼宇、园区、景区等新空间、新领域、新区域以及人口密集功能区空白点的党群服务阵地建设，形成了规模适配、错落有致、覆盖面广、带动力强的四级党群服务阵地体系，即1个市党建服务中心、16个区党建（群）服务中心、450余个街镇级党群服务中心、12000余个居村级（楼宇、园区、商圈等）党群服务中心（站、点）。?2021年，市级党群服务阵地体系继续扩容。上海围绕党建引领物业治理、旧区改造、滨江、楼宇、互联网企业、农村集体经济、长三角一体化发展以及党员教育等推出了12个新时代基层党建创新实践基地，全景呈现上海学思践悟习近平新时代中国特色社会主义思想的最新进展，并推出百余门实践实训课程，作为党员、干部教育现场教学点，以鲜活的场景和实训课程让党员、干部进一步学思践悟新思想、新方法。?除了实体阵地，指尖上的红色阵地也与时俱进不断推出。上海建设完善上海智慧党建宣传平台，打造PC、手机、远教等多屏融合互动的党建融媒体，以满足全场域、全时段的宣传、教育、学习、交流需要，现已初步形成包含上海智慧党建网站、上海基层党建微信公众号（微信视频号）和“先锋上海”微信小程序“三位一体”的党建宣传格局。结合历次主题教育和重要时间节点，党建融媒体抓好宣传贯彻，营造良好氛围，推出了“十九大精神十九人讲”音频党课系列课程、“给90后讲讲马克思”系列音频党课、“红色筑梦·‘四史’现场讲”等一系列优质党课。各种党课还通过“上海党员远教直播课堂”在全市16个区“一杆子到底”直播，让最基层的党员也能同步聆听最优质的党课。?而今，红色阵地不仅是党员、干部学习的“红色殿堂”，更成为了老百姓“家门口的服务”阵地。践行“人民城市”理念，立足实践管用、基层爱用、群众受用，根据群众需求拓展特色服务积极统筹融合资源，推动政务、文体、生活等多元服务在红色阵地集聚。仅今年上半年，全市各红色阵地就开展活动12.2万场，服务人次超过2500万。镶嵌在全市各处的红色阵地，成为了老百姓身边的“幸福家”。,0,0,0,上海,上海,上海,中国,,,
7,4.93539E+15,灰色福克斯,2023/8/16 15:56,一大会址可坐地铁1号线到达，二大会址我还没测过。今天我才知道，我们机房附近的四川北路公园里有#中共四大纪念馆#。该纪念馆讲述了中共四大、五卅运动等历史事件，而图3是关于国共合作的油画，中间有李大钊和国父，李大钊左边穿白色衬衫的是陈独秀，而画左边穿大褂的是教员。旁边的国旗教育展示厅讲述了国旗、国徽的设计过程和开国大典、抗美援朝等。 上海·中共四大纪念馆,0,0,1,上海,,上海,中国,,,
7,4.93005E+15,上海虹口,2023/8/1 22:18,【让红色文化活起来，VR系统入驻国旗教育展示厅】日前，中共四大纪念馆与上海大学深度合作，推出“灵境?强国有我”VR系统。观众通过佩戴相关VR眼镜，近距离欣赏、触碰展示的展品文物，感受红色文化的魅力。 ,0,0,1,,,江苏,中国,,,
7,4.92809E+15,东方网,2023/7/27 12:18,【72年前，他出生在抗美援朝战场上，今天他朗诵诗歌纪念英烈】#纪念抗美援朝胜利70周年# “72年前，我的父亲母亲和你们一样，跨过鸭绿江，与你们并肩战斗在那片土地上。”在抗美援朝战争胜利70周年纪念日，在中共四大纪念馆，上海革命故事讲述团团长王念朝朗诵诗歌《祭奠伟大的中国人民志愿军英烈》，向伟大的中国人民志愿军致敬。（东方网·纵相视频 李宏洋 蒋美青） 东方网的微博视频,0,0,1,,上海,上海,中国,,,
7,4.92787E+15,上海司法行政发布,2023/7/26 21:45,【上海青年公证员，欢迎搭乘“红色专线”！】上海青年公证员，欢迎搭乘“红色专线”！        7月21日，上海市公证协会青年公证员工作委员会开展“寻访红色印记，践行青春使命”主题活动。        本次活动由参观中共二大会址纪念馆、中共四大纪念馆及开展“读原著、悟原理、知原意”活动两部分组成。21日上午，青年公证人在五卅运动纪念碑集合，统一搭乘“红色专线”巴士正式开始一天的寻访之旅。,0,0,0,,上海,上海,中国,,,
7,4.92753E+15,成都青白江公安,2023/7/25 23:27,#主题教育# 【传承红色基因，重寻先辈足迹】近日，虹口公安分局欧阳路派出所组织青年民警先后来到世界会客厅、汇山码头遗址、五卅烈士纪念广场、李白烈士故居、中共四大纪念馆等地共同踏寻红色印记、瞻仰革命遗址、聆听英模事迹，增强党性修养，践行党的宗旨，不忘初心、牢记使命。虹口公安分局的微博视频,1,0,1,,成都,四川,中国,,,
7,4.92676E+15,上海静安,2023/7/23 20:25,【听故事、看小人书，“追寻红色足迹”连环画、漫画主题展开幕】#关注静安# 为庆祝中国共产党成立102周年，北站街道党工委、办事处联合中共四大纪念馆于近日举办“追寻红色足迹，发掘力量之源”连环画、漫画主题展，7月23日，本次主题展导赏活动在吴昌硕海派艺术空间开启，展期至8月8日……详见：听故事、看小人书，“追寻红色足迹”连环画、漫画主题展开幕,0,0,0,,上海,上海,中国,,,
7,4.92574E+15,于海青,2023/7/21 0:45,于海青 #海青说上海# 为何说在中共四大纪念馆引发了我的深思考？#数字内容生产者##活着就是为了摆渡#  于海青的微博视频 上海 ,6,5,4,上海,上海,上海,中国,,,
