页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,正负情感,子类目
3,4988527200962185,宝贝咕姆,2024-01-10 06:57:10,黄浦江上🚢使过，汽笛鸣起；海关大楼的钟声敲响……日出东方，上海的早晨又开启了新一天的车水马龙……🤓。//@叶清voasia:谢谢王导，谢谢《繁花》，谢谢老婆儿子，谢谢所有认真看剧的观众。感恩所有,0,2,1,上海,上海,上海,中国,积极,城市景象
3,4987316711984593,卢八味,2024-01-06 22:47:07,别再祈祷你的2024遇到爷叔了， 就算遇到了，你抓得嘛？ 让你拼命去借6千然后亏了3千的糟老头子回头再让你借1万，你愿意选择相信嘛？ 当你突然发财有钱了，你会在海关大楼门口抱着一麻袋钱等那个糟老头子嘛？ 就这第一集的两关，已经删掉了98%  #繁花# ,0,2,2,上海,上海,上海,中国,消极,电视剧
3,4987290248548154,雅荔_QY,2024-01-06 21:01:57,#繁花# 在看第一集 上海话好亲切 看到了海关大楼 5 6年前去过里面参加培训 好怀念那时候在上海上班的时候 上海是个好地方 ,0,0,0,湖北,宜昌,湖北,中国,积极,电视剧观看
3,4985765781834050,掌上武汉,2024-01-02 16:04:16,图①、上海江海关大楼 图②、广州粤海关大楼 图③、武汉江汉关大楼  这三座地理位置完全不同的城市，为何会出现三座风格相同的大楼？  #武汉生活圈##武汉上海广州都有一座这样的楼# 武汉·江汉关 ,10,14,159,湖北,武汉,湖北,中国,中性,建筑
3,4986328598708611,北雅图,2024-01-04 05:20:42,上海浦东行（4）浦东海关大楼 浦东海关大楼，位于浦东新区陆家嘴西路153号（毗邻迪斯尼主题旗舰店），楼高137.3米，25层，楼顶像飞碟，楼体挂有“中国海关”金字招牌。 ,0,1,0,北京,,北京,中国,中性,建筑描述
3,4986145035782260,豌豌浢浢浢浢浢纸,2024-01-03 17:11:17,游本昌跟胡歌说在海关大楼底下等 想到我妈以前的同事全家就住在外滩的海关大楼里面 我也不知道为什么以前可以住啊 但是我妈说那阵子住她家吵死了 ,0,0,5,上海,上海,上海,中国,中性,回忆
3,4985402827476018,广州湾随笔,2024-01-01 16:02:01,上午，开车去北海外沙岛后，又返回北海老街另一端，去看海关大楼旧址、邮政历史场馆等古建筑，均处于防雷装修中，所以只是门口看一看。   北海·北海老街 ,0,0,0,广东,湛江,广东,中国,中性,旅游活动
3,4985171268346490,Fangtasia海豹和小章鱼,2024-01-01 00:41:53,这个年反而跨的有点悲伤，大概是对于马上又要老一岁的无力😪以及觉得2020到2023这几年实在是过的太快“时间它从来不等人像海关大楼的钟声，钟声沉稳那头是黄昏”，在急诊切实感受到了衰老疲惫，不止一次震惊于两位女老总皮肤之好，并不断购入有抗衰老功能的各种护肤品。了解了同班小伙伴的作息以后越发觉得人的精力大概都是基因决定的，有些人精力就很适合当主任，和我这种随时能睡随时要睡的，可能只能当废柴了。,0,0,2,广东,广州,广东,中国,消极,个人感受
3,4984797481665034,Mary千惠,2023-12-30 23:56:35,百年建筑，中国最早的海关大楼，粤海关。脑补一下，100多年前，多少外国的商船从中国的南大门广州进入中国的情景。 广州 ,0,0,0,广东,广州,广东,中国,积极,建筑历史
3,4984085663713255,亲爱的犄角,2023-12-29 00:48:05,徐泽辉  🗓️ 2023.12.28 🕰️ 上海话版舞台剧《长恨歌》谢幕 🌟 “海关大楼正在敲，敲的也是几十年前的那一声。” @-徐泽辉 亲爱的犄角的微博视频 ,0,0,4,上海,,上海,中国,积极,舞台剧观看
4,4982863839103712,鹭岛白鹭仙子,2023-12-25 15:52:59,2016年重建的闽海关大楼 福州 ,1,0,0,福建,福州,福建,中国,中性,建筑
4,4981700822306100,Wheatyripple_,2023-12-22 10:51:34,在秋天的树叶，叠成的棉被，一般的路上走。时间它从来不骗人，像海关大楼的钟声，钟声沉稳，那头是黄昏，斜阳在江岸晾头发，大船小船在谈恋爱，有谁不想在此地谈恋爱。上海的那头，是几天晴，几天雨，是无尽的潮湿，绕道的台风，以及，许诺而常耍赖的，冬雪。上海的那头，是谁在，等待我，是满腔的热情，和湿漉的周末，上海的那头，大概是你吧。,0,3,2,上海,上海,上海,中国,积极,自然景观
4,4981430889484899,一和家家,2023-12-21 16:58:57,香港海关检获市值约5200万港元疑似大麻花毒品——12月21日，香港海关发布消息称，11月21日在葵涌海关大楼验货场侦破一起大型海路贩运毒品案件，检获约228公斤疑似大麻花的毒品，估计市值约5200万港元，3名涉案男子被捕。海关称，当天，在检查一个从加拿大抵港、报称装有轮胎的海运货柜时，在货柜内发现98条轮胎，其中73条藏有共重约228公斤疑似大麻花。目前，案件仍在调查中。,0,0,0,河南,许昌,河南,中国,消极,犯罪事件
4,4979520671318252,法眼边车视野,2023-12-16 10:28:26,#上海生活#带着微博去旅行    聆听上海海关大楼钟声报时，听熟悉而又久违的《东方红》乐曲。@上海人说上海事 @鲁国平先生 @黄胜友 @连线记者 上海  法眼边车视野的微博视频 上海 ,1,4,3,上海,,上海,中国,积极,旅行体验
4,4978030890190250,wish2k,2023-12-12 07:48:34,粤海关大楼的大笨钟坏了有一个月了吧？@广州市政府新闻办 ,0,0,0,广东,广州,广东,中国,消极,公共设施
4,4977814275098279,羊不怂_,2023-12-11 17:27:49,海关大楼门口那棵银杏，你值得！ ,0,0,1,贵州,贵阳,贵州,中国,积极,景点推荐
4,4977300733167153,张智楠7799,2023-12-10 07:27:11,202312又是一年要过去了，小时候会专门赶来听海关大楼的钟声，现在孩子都比那个时候我大，不知道那天这里不在了，今天上班路过拍张照片，留个回忆。 ,0,0,1,贵州,贵阳,贵州,中国,中性,回忆
4,4977167630337916,秋雨细无声的地盘,2023-12-09 22:38:17,北海的英国领事馆、德国领事馆、法国领事馆、德国洋行、海关大楼、邮电大楼 ,0,1,1,广西,北海,广西,中国,中性,建筑历史
4,4977124242883342,齐孔,2023-12-09 19:45:53,北海关大楼旧址参观。 ,0,0,1,广西,桂林,广西,中国,中性,历史遗迹参观
4,4976777135133323,-下飯少女Aaaanita-,2023-12-08 20:46:36,周末了！三水24小时特种兵之旅安排第一站：泡沫箱肠粉同类推荐：超记小食店、金记肠粉主页🔍肠粉/早餐第二站：老鸦洲同类推荐：百年火车站主页🔍河口/海关大楼第三站：河口煲仔饭同类推荐：粵全食煲仔饭/醋意无限（三水特产臭屁醋）主页🔍三水美食第四站：江野烘焙咖啡同类推荐：大鱼烘焙/友幸小馆/陀飞轮主页🔍咖啡推荐第五站：北江大堤日落老街改造中，附近逛一逛也不错第六站：小凤美食邨同类推荐：大醋情（三水特产臭屁醋）、功夫一家（特色牛杂煲、榴莲鸡煲）、如意坊滑蛋牛肉饭主页🔍西甲、西南市场（更多周边美食推荐）第七站：江边仓晚上也可以去北江大堤散步，吹吹风超舒服第八站：主页🔍宵夜，感受更多三水夜生活明天出plog，推荐一人食一人玩的三水好去处 -下飯少女Aaaanita-的微博视频,0,2,0,广东,佛山,广东,中国,积极,旅游规划
5,4976668888273663,DDoKing,2023-12-08 13:36:28,啊哈 这么些年终于上天台拍了照片 记得初中看海关大楼亮灯着黄黄的灯 现在只有钟是亮的 苏州·印象城购物中心(现代大道店) ,0,0,5,江苏,苏州,江苏,中国,积极,个人经历
5,4976074236889930,夏日的稻草堆,2023-12-06 22:13:32,广州粤海关博物馆，建筑本身比展品更精彩。广州的粤海关博物馆，我觉得博物馆本身的建筑，也就是粤海关旧址，远比展品更加精彩。粤海关成立于1685，是我国最早设立的海关之一（图2）。1914年，现粤海关大楼工程奠基，1916年竣工。是中国最早的海关大楼。大楼为英国爱德华时期巴洛克式新古典主义建筑，为广州近代西洋建筑的典范。大楼钟楼大钟1915年由英国制造，至今还在早晚8：00时各鸣钟8声。粤海关大楼大部分建筑材料由国外进口，建筑面积4000余平方米。建筑正立面三段式特征明显。下段为底层，用横向条石砌筑。中段为三层建筑主体。上段为高耸的钟楼。主体建筑的正面，竖立了众多的爱奥尼式石柱。其中一二层为贯穿式。大楼整体极具权威感和庄严感（图3）。大楼主入口处外凸。两旁竖立共四条爱奥尼式石柱。顶部是正楷“粤海關”，以及英文CUSTOM HOME（海关）（图1）。大楼的栏杆，设计者参考了古希腊的双耳瓶，设计出古典复兴风格的栏杆，庄重典雅（图4）。走入粤海关大楼正门，就是前厅。这里耸立了四条爱奥尼式石柱，柱顶是精美的装饰山花，天花覆盖着齿状装饰。立柱的限定区域，带来一种秩序感（图5、6）。后部是铸铁的电梯，预示上部空间的延续（图7）。这个电梯是广州最早的电梯。大楼前厅的左右，分别是对称的两条长长的走廊。走廊顶部是挑高装饰的天花，悬挂着讲究的吊灯。走廊两旁，整齐的咖啡色办公室大门逐一展现。整个走廊庄重而有气势（图8）。每个办公室的式样统一。咖啡色的雕花的门框和大门。门前是双开式弹簧门，既能通风，也能保护隐私，是个很好的设计。弹簧来自当年的纽约（图9）。当年的锁头日久弥新，还在使用（图10）。走进办公室，地下铺着的是罗马式的马赛克，点缀有古希腊时代的图案（图11）。装有英国进口带有釉面砖的壁炉，主要用于驱除广州潮湿的空气（图12）。高大的窗户，悬挂着木制百叶窗，既遮阳又经久耐用（图13）。这样的办公室共有三层。每层除了电梯，也可以走楼梯。大楼的楼梯墙壁镶嵌有颜色俗称“冬瓜青”的釉面砖，并有顶盖，讲究而明快（图14、15）。税务司室位于三楼，相当于现在海关的关长室，是粤海关的一把手。办公室内是不断传承，税务司专用的办公桌（图16、17）。馆内陈列的展品主要是图片和文字（图18）。地铁6号线文化公园站下车，走没多远就到粤海关博物馆。#广州##博物馆##粤海关# 广州·粤海关博物馆,0,2,1,广东,深圳,广东,中国,积极,博物馆游览
5,4975834106954282,小V张城川,2023-12-06 06:19:20,1850年的上海  图片建筑分别是文庙，龙华塔，曹家渡，泰安桥，外滩，英国总领馆，松江大仓桥，豫园，最后一张是海关大楼。 ,1,0,2,江苏,南京,江苏,中国,中性,历史建筑
5,4974908998418996,sansa_67,2023-12-03 17:03:17,霸王茶姬小粽杯get✔ 文化熏陶get✔ 土狗进城get✔ 地铁自拍(不小心拍进大爷，还被发现) 大爷漂流(你大爷还得是你大爷) 海关大楼(只是经过) 青岛 ,0,2,11,山东,青岛,山东,中国,积极,餐饮体验
5,4974783382685774,家櫪,2023-12-03 08:44:08,该照片摄于1925年，还是玻璃版。1857年，外国人在扬子江边建造了中国衙门式的关署。1891－1893年翻建成哥特式的红砖建筑，有33米高的钟楼。1925年再重建，终成了现在的上海海关大楼，当时八国联军的军舰横行于黄浦江上，是一位欧洲人拍摄后暗房制作出来的长一米五的超大照片，工艺极为复杂原版非常罕见,0,0,0,北京,北京,北京,中国,中性,建筑历史
5,4974169513266616,冬亚,2023-12-01 16:04:50,芜湖那个江边海关大楼，跟这楼样子差不多，但风景可比这好多了。结果外墙修缮了一下以后，里面一直锁着，也不继续使用,3,7,15,江苏,南京,江苏,中国,消极,建筑
5,4973468376891408,梦_珍珠,2023-11-29 17:38:45,暴走的一天，邻居说看到朋友圈的文化公园菊花展，想去，好，安排，实话说，去到一看，哇，那个人哟，有点多，邻居是外地人，她说她没来过文化公园这边，这好办，这里我太熟悉了，领着她逛完文化公园出来，顺便把海关大楼，邮局，南方大厦，爱群大厦，圣心教堂，一路领着她走，顺便回忆一下我的童年这边生活的点滴，我的出生地，我的户籍所在地，最后去海珠桥边新盖的星寰里的点都德饮个茶作为今天老城一日游的结束！邻居表示满意！ 广州·广州文化公园,0,0,2,广东,广州,广东,中国,积极,文化公园游览
5,4973334997501581,20200617ok,2023-11-29 08:48:46,国门卫士，中国海关大楼。 ,0,0,0,山东,临沂,山东,中国,积极,建筑
5,4970966745874892,宁波小柒,2023-11-22 19:58:10,新造的海曙海关大楼，高108.9米共23层，其顶部的大钟颇具特色，想必一定会成为奉化江畔的一座地标～ 宁波 ,0,6,29,浙江,,浙江,中国,积极,建筑
5,4969954513520246,麦子wheatwheat,2023-11-20 00:55:56,时间它从来不骗人， 像海关大楼的钟声， 钟声沉稳， 那头是黄昏。 ,0,0,5,上海,,上海,中国,中性,时间描述
6,4969726510104671,sunli19992003,2023-11-19 09:49:55,【徐汇滨江·XXXVIII [龙华段]｜西岸梦中心[在建中]】 【西岸·穹顶艺术中心】 前身是具有百年历史的上海水泥厂的预均化库。于1923年投资的“象牌””水泥，上海海关大楼、国际饭店等都釆用“象牌”水泥来建造…… ,0,2,4,上海,上海,上海,中国,积极,建筑历史
6,4969452561763517,清影微浓,2023-11-18 15:41:21,“六百年之巨匠” 来自提森-博内米萨国立博物馆的珍藏卡纳莱托（吉奥瓦尼·安东尼奥·卡纳尔）从威尼斯圣维奥眺望大运河约1723至1724年布面油画卡纳莱托所描绘的18世纪威尼斯盛景，画作以通向圣马可广场的大运河风光为背景，右侧前景中是巴尔巴里戈宫，背景则是安康圣母教堂的穹顶以及海关大楼博物馆。在画面左侧，艺术家详细描绘了大柯内尔宫。这幅作品展现了卡纳莱托的两个主要特点：高视角以及精湛的绘画技巧。图3. 大柯内尔宫是威尼斯大运河上的一座意       大利文艺复兴时期的宫殿。图4. 一个女人正从巴尔里戈宫的一扇窗户向外看，一个男人正在清理其中一个烟囱。图5. 运河这侧的一排建筑通向安康圣母教堂的圆顶。图6. 宫殿的外墙上有一幅庆典驳船图，上有意大利文的题词：&quot;这艘船由我﹣-马可·希奥帕尔巴制作。&quot;#遇见艺术##随手拍##浦东美术馆##提森-博内米萨国立博物馆##艺术分享#,0,20,30,上海,上海,上海,中国,积极,艺术作品
6,4968987852276141,欧德曼王子53653,2023-11-17 08:54:46,粤海关大楼内部 ,0,0,0,广东,广州,广东,中国,中性,建筑描述
6,4968132071393525,丰盛资蕴,2023-11-15 00:14:12,APEC旧金山2023  唐人街焕然一新欢迎您  旧金山海关大楼经几个月的改建，发出史上最强光，照耀半边天，夜上专人打碟，让你跳过够 ,0,1,2,美国,,,美国,积极,城市活动
6,4968085813987572,1986autumn,2023-11-14 21:10:23,在上海大厦下午茶、在默默的家吃鸡煲，昨晚在酒店经常听到的钟声原来就来自于海关大楼终于两个人一起观光打卡完东京塔、首尔塔以及东方明珠 ,0,0,3,浙江,嘉兴,浙江,中国,积极,餐饮体验
6,4967551268553042,三树旁的涓涓细流,2023-11-13 09:46:18,#上海老洋房##摄影技巧# 从亚细亚火油公司、公和洋行、日清汽船、旗昌洋行、大北电报公司、汇丰银行、海关大楼、德华银行、华俄道胜银行、台湾银行、汇中饭店、沙逊洋行、横滨正金银行、扬子保险、格林邮船公司、东方汇理银行…到中国太平洋保险、上海民用建筑设计院、华夏银行、通商银行、长江航运公司、招商局、浦发银行、交通银行、上海市总工会、上海黄金交易所、外汇交易中心、招商银行、和平饭店、工商银行、农业银行、上海清算所、光大银行…19世纪初至今，外滩建筑群一直是上海的标志，标志着国家主权和民族尊严。 上海·外滩万国建筑博览,0,0,0,广东,深圳,广东,中国,积极,建筑历史
6,4967481296814192,北雅图,2023-11-13 05:08:15,上海三日游（14）外滩13号-海关大楼 海关大楼，位于黄浦区中山东一路13号，1864年清廷在现址设江海北关，1845年建成第一代海关大楼，1893年建成第二代海关大楼，现在的海关大楼是第三代，建成于1927年，高78.2米，楼顶为钟楼，四面有四个钟，据说，与伦敦的大本钟为一家公司制造。 ,0,0,0,北京,,北京,中国,中性,建筑描述
6,4966838528901969,丑宝拉贝,2023-11-11 10:34:07,置身宇宙的中心，早八点，在海关大楼的钟声和东方红旋律中起床，开始元气满满的走街串巷。 ,0,1,2,福建,福州,福建,中国,积极,生活体验
6,4966678945334790,那些珍贵老照片,2023-11-11 00:00:00,1934年11月，广州，高层建筑与脚下古老的小船交相辉映，画面左上角有拱顶的建筑是海关大楼。 ,1,0,7,陕西,西安,陕西,中国,中性,建筑描述
6,4966592360220774,彩云飞391,2023-11-10 18:15:56,【薛家柱 ·《觉醒的警卫员》· 插图】严冬的寒风，笼罩着外滩古老的建筑。迎着凛冽的江风，庄志明双手插在棉衣口袋里，沉重地走在马路上。穿过外白渡桥，这时，灰色的天空下起小雨。外白渡桥上车来车往，苏州河里的小轮船呜呜地吼叫，泛起墨黑的浑浊河水。黄浦江边，海关大楼上的大钟，当当地敲了十下。霏霏细雨越下越密了，寒风也一阵阵紧了起来。远远近近，不时响起汽笛声。小阁楼上，一灯如豆，难以压抑的痛苦，使他感到透不过气。漠漠的夜空是那样黝黑，大地是那样死寂，呼啸的北风是那样寒冷…,0,0,0,陕西,西安,陕西,中国,消极,环境描写
7,4965832808727888,上海大碗不倒翁,2023-11-08 15:57:44,浦东新区的发展，其实比大家想象的要早。早在1860年代，就已经有中外商人，在浦东建仓库、建工厂。既然这些货物，很多都来源于外商或出口，那必然要涉及海关。虽然海关大楼（江海关）在外滩，但是很多实际事务，还是要在工厂仓库附近，效率更高。杨家渡和其仓栈是当时浦东往浦西最重要的渡口。江海南关、江海北关的浦东办公楼，就分别位于这里。往前几十年，其仓栈的浦东大洋房，还都在老人们的记忆中。但现在，除了能看到围墙里一栋老洋房，什么都没有留下痕迹。#上海买房# 上海,0,0,0,上海,上海,上海,中国,中性,历史发展
7,4965378166096041,chanchanbabyHK,2023-11-07 09:51:09,香港海關10月26日在葵涌海關大樓驗貨場偵破一宗大型販運懷疑固態冰毒案件，檢獲約1.1噸懷疑冰毒，估計市值約6.4億元。三名男子和一名女子懷疑涉案被捕。這是海關歷年破獲的最大宗固態冰毒案件。海關當日根據風險評估，揀選及檢查一個從墨西哥抵港，報稱載有611袋海產的海運貨櫃。經查驗後，海關人員在104個尼龍袋內，發現一批偽裝成貝殼、並與真貝殼混雜一起的懷疑冰毒。該批懷疑冰毒共重約1.1噸。跟進調查後，海關人員即日拘捕兩名分別為60歲的男司機和54歲的貨倉男負責人，並再於翌日（10月27日）和11月4日分別拘捕一名46歲物流公司女負責人和一名27歲的無業男子。案件仍在調查中。,0,1,25,广东,广州,广东,中国,积极,执法行动
7,4965447579996077,小华子Ya,2023-11-07 14:26:59,逐渐喜欢长焦摄影（杭州海关大楼）黑白调 #摄影##手机摄影##手机摄影圈##手机摄影圈# ,0,1,1,浙江,杭州,浙江,中国,积极,摄影爱好
7,4965048938401233,快兰斯24小时财经直播2,2023-11-06 12:02:56,实时播报：【香港海关检获市值约6.4亿港元冰毒】据香港电台网站11月6日报道，香港海关10月26日在葵涌海关大楼验货场侦破一宗海路贩毒案件，检获约1.1吨冰毒，估计市值约6.4亿港元。4名怀疑涉案男女被拘捕。 ,1,1,0,广东,广州,广东,中国,积极,社会新闻
7,4964478731163011,坠入深的深,2023-11-04 22:17:08,#带着微博去旅行# 居然让我赶上了亮灯的时刻！上海之行即将结束，期待下一次的到来！！@卡布叻_周深 上海·南京路步行街 坠入深的深的微博视频 ,0,1,1,上海,上海,上海,中国,积极,旅行体验
7,4964326467178120,項姐姐是馬虎貓,2023-11-04 12:12:05,海關大樓的鐘聲 伴著我入眠 又將我喚醒 還有清晨🕕六點不到的清脆鳥鳴 以前看《夢想改造家》欄目時 有居住在海關大樓附近的人家參加裝潢改造 終於 我也感受到了她的沉穩與悠揚 代價是 綠松都被我揉變色了 兩塊坐臀肉 全麻 ,0,0,0,上海,上海,上海,中国,积极,生活体验
7,4964300777589307,安徽博物院,2023-11-04 10:30:00,周末看展ing~#从透纳到莱顿——英国绘画的黄金时代# 《利物浦海关大楼北侧》 油画 | 约翰·阿特金森·格里姆肖格里姆肖被认为是有史以来最优秀、最有成就的夜景与城市景观画家。他的作品描绘了当代世界，但避开了工业城镇压抑的一面。这幅作品描绘了利物浦码头的夜景，浓烟、雾霭、煤气灯构成了暮色下的城市，如一首绵长而令人沉醉的抒情诗，意境悠远，打破了当时人们对于工业城镇的既定印象。#约会博物馆# #美学研究所#,1,0,2,,合肥,安徽,中国,积极,艺术展览
7,4963597405390520,mmcmobilecard,2023-11-02 11:55:03,欧战胜利纪念碑，海关大楼和远处的外白渡桥，百老汇大厦……//@设计师班毛:1930s 上海,0,0,1,福建,厦门,福建,中国,中性,地标建筑
7,4961546939138372,Fuckitism,2023-10-27 20:07:13,小黄狗追着洒水车 洒水车追着我 我追着上班的公交车 公车追着时间  时间它从来不骗人 像海关大楼的钟声 钟声沉稳 那头是黄昏 ,0,0,4,广东,广州,广东,中国,中性,生活场景
7,4961460726008388,ShiMaaa_島,2023-10-27 14:24:39,困到昏厥🥱 海关大楼的风景真不戳！可惜有雾霾🌫️ 小鹿Lawrence#富士百人影创官##富士数码相机# ,0,0,2,上海,上海,上海,中国,消极,个人感受
8,4961357850214497,捡垃圾的人类学家,2023-10-27 07:35:52,2016年，我给某刊写了一篇文章，主要为了赚稿费，写了刘森他们乐队的故事。主从电线杆上、墙上的小广告获得灵感，以Pink Floyd的专辑命名，他们写出了《迷墙》。三个完全非科班的年轻人用歌曲表达叛逆。宋冬野、马頔他们表示不屑，没他们唱的好。路过海关大楼，想起乐队中的一位就在这上班。物是人非。乐队早就不是乐队，刘森一人坚持。,0,0,0,天津,,天津,中国,中性,写作经历
8,4960696526963458,住建--德阳,2023-10-25 11:48:00,#德阳建设#【这条路预计今年底全线贯通！】德阳人最关心的公路之一，德中快通项目有新进展啦！据介绍，德中快通项目全线贯通在即，目前每天有1000余人、机械设备300余台（套）在加班加点，力争项目如期贯通。据了解，德中项目主线起于金沙江东路的德阳海关大楼附近，止于中江县二环路继光大道路口，与规划的继光大道西段对接，项目全长24.192公里。双向六车道，设计速度80公里/小时，主要工程包括24座桥梁、36座涵洞、7座隧道。截至目前，项目桥梁工程累计已完成95%，路基工程累计已完成96%，隧道工程累计已完成95%，涵洞工程累计已完成80%，路面工程累计已完成35%。项目建成通车后，将形成一条贯穿德阳市境内东西部的交通大走廊，通勤时间将由原来的1个小时左右缩短为20分钟左右。这条路预计今年底全线贯通！,0,0,0,,德阳,四川,中国,积极,交通建设
