页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家, 从严治党
19,5046200434427599,廉洁上海,2024-06-17 10:30:00,【突出发扬自我革命精神 为高质量发展清障护航】习近平总书记关于党的自我革命的重要思想，凝结了新时代全面从严治党丰富实践经验和重要理论成果，标志着我们党对马克思主义政党建设规律、共产党执政规律的认识达到新高度，为新时代新征程深入推进全面从严治党、党风廉政建设和反腐败斗争提供了根本遵循。作为派驻中管企业纪检监察组，必须深刻领悟这一重要思想的科学体系、精神实质和实践要求，以永远在路上的决心和勇气纵深推进全面从严治党、党的自我革命，正确处理好监督执纪与促进发展、监督责任与协助职责、严管与厚爱的关系，一体推进不敢腐、不能腐、不想腐，为奋力谱写国家电网高质量发展新篇章清障护航。（中央纪委国家监委网站）网页链接,0,0,1,,上海,上海,中国, 从严治党
21,5045609038087187,上海嘉定,2024-06-15 19:20:00,【#嘉清风#｜问责！全面从严治党不力】《中国共产党问责条例》第七条第八款规定，全面从严治党主体责任、监督责任落实不到位，对公权力的监督制约不力，好人主义盛行，不负责不担当，党内监督乏力，该发现的问题没有发现，发现问题不报告不处置，领导巡视巡察工作不力，落实巡视巡察整改要求走过场、不到位，该问责不问责，造成严重后果的，应当予以问责。,0,0,0,,上海,上海,中国, 从严治党
25,5044841479671728,廉洁上海,2024-06-13 16:30:00,【#理论视野# 夯实党在基层的执政根基】基层稳，则国家稳；基层强，则国家强。基层治理是国家治理的基石，加强基层监督是健全党和国家监督体系、深入推进全面从严治党的必然要求。习近平总书记强调，“要充分发挥监督在基层治理中的作用，推动监督落地，让群众参与到监督中来。”2004年，浙江省金华市武义县后陈村成立了全国首家村务监督委员会，探索以源头治理为目标的基层治理运行体系，被时任浙江省委书记习近平同志总结提炼为“后陈经验”。2010年，村务监督委员会制度被写进《中华人民共和国村民委员会组织法》；2019年，又被写进《中国共产党农村基层组织工作条例》，“治村之计”也上升成为“治国之策”，成为农村基层民主政治建设的鲜活样本和实践品牌。（中央纪委国家监委网站）网页链接,3,1,4,,上海,上海,中国, 从严治党
25,5044831816256829,奉贤海湾镇,2024-06-13 15:51:36,#参观学习警示教育基地主题党日活动#为加强居民区党员对党的纪律建设有更深刻的领悟，增强党员群众的廉洁自律意识，提高拒腐防变能力，2024年6月12日，星火第一居民区党总支将开展参观从严治党警示教育基地的活动。我们一行人怀着崇敬的心情，踏上了前往宋庆龄陵园的征途，旨在通过实地参观学习，深化对党的历史和伟人事迹的了解，增强党性修养和爱国主义精神。,0,0,0,,上海,上海,中国, 从严治党
27,5044730499436239,金山传播,2024-06-13 09:09:00,【区领导参观市全面从严治党警示教育基地并开展区党纪学习教育专题学习研讨会暨警示教育学习交流会】6月12日下午，区委书记刘健、区人大常委会主任王宏伟、区政协主席刘豫峰、区委副书记袁罡等区领导参观市全面从严治党警示教育基地，并开展区党纪学习教育专题学习研讨会暨警示教育学习交流会，进一步坚定理想信念，筑牢政治忠诚，为金山转型新发展塑造新形象提供坚强组织保障和纪律保证。区领导参观市全面从严治党警示教育基地并开展区党纪学习教育专题学习研讨会暨警示教育学习交流会,0,0,0,,上海,上海,中国, 从严治党
27,5044725716881383,绿色青浦,2024-06-13 08:50:00,【区委党的建设工作领导小组（扩大）会议举行，部署推进党纪学习教育、全面从严治党、新兴领域党建全覆盖等工作】6月12日上午，中共青浦区委党的建设工作领导小组（扩大）会议举行，进一步落实中央、市委要求，扎实推进本区党纪学习教育、全面从严治党以及新兴领域党建全覆盖等工作。区委书记、区委党的建设工作领导小组组长徐建主持会议并讲话，区委副书记张权权，区委常委、政法委书记顾骏，区委常委、区纪委书记、区监委主任叶靖等出席。区委党的建设工作领导小组（扩大）会议举行，部署推进党纪学习教育、全面从严治党、新兴领域党建全覆盖等工作,0,0,0,,上海,上海,中国, 从严治党
30,5044267403707521,涂涂笙鸦_,2024-06-12 02:28:50,全面从严治党好难背 ,0,0,0,上海,上海,上海,中国, 从严治党
33,5043999553882239,生态松江,2024-06-11 08:44:29,【党纪学习教育｜“学”“思”同频 “知”“行”同向】为深入推进党纪学习教育走深走实，近期，区生态环境局执法大队党支部开展全面从严治党警示教育会暨“深化党纪学习教育 做新时代合格党员”主题党日活动，支部副书记姚春云主持会议，支委班子领导出席会议。党纪学习教育｜“学”“思”同频 “知”“行”同向 ,0,0,1,,,上海,中国, 从严治党
33,5043120322119615,侠骨柔情的杨华,2024-06-08 22:30:44,依法治国从严治党纪律教育营造清朗网络空间,33,21,104,上海,,上海,中国, 从严治党
37,5042563456960475,松江绿化市容,2024-06-07 09:37:57,党纪学习教育 | 区绿化市容局召开全面从严治党警示教育大会网页链接 ,0,0,0,,上海,上海,中国, 从严治党
39,5041927277252319,廉洁上海,2024-06-05 15:30:00,#每日金句# #重要论述# 【要落实新时代党的建设总要求，以党的政治建设统领党的建设各项工作，健全全面从严治党体系】详见↓↓ ,0,0,1,,上海,上海,中国, 从严治党
40,5041554395236880,侠骨柔情的杨华,2024-06-04 14:48:18,只能说明，从严治党，因人而异。纪律教育，走走过场！唉//@分外桃花:一个胡锡进，一个公方彬，一个是人民日报系统的，一个是军队系统的，从严治党、党纪学习教育对这两个人没有任何约束作用。@人民日报 @钧正平,50,16,165,上海,,上海,中国, 从严治党
43,5041187723411765,虹桥镇龙柏六村居委会,2024-06-03 14:31:16,党员党纪教育学习作为党的建设的必然要求，其重要性不言而喻。在党的建设伟大工程中，通过开展各类党纪教育学习活动，有效提升了党员的纪律意识和规矩意识，体现了党员党纪教育学习在党的建设中的重要作用。同时，党员党纪教育学习还可以推动全面从严治党向基层延伸，确保党的肌体健康、充满活力。党员党纪教育学习作为全面从严治党的重要组成部分，必须持之以恒、久久为功。我们要通过不断深化党员党纪教育学习，引导广大党员坚定理想信念、牢记党的宗旨、严守党的纪律，为推进党的建设新的伟大工程作出积极贡献。党员党纪教育学习还有助于培养党员的责任感和使命感。通过学习党的历史和优良传统，党员们能够深刻认识到自己的责任和使命，更加自觉地投身于党和人民的伟大事业中。同时，党员们还能够通过学习先进典型和榜样人物的事迹，激发自己的奋斗精神和奉献精神，为党和人民的事业贡献自己的力量。,0,0,2,,上海,上海,中国, 从严治党
44,5041123707326072,东方日记本,2024-06-03 10:16:54,纪律是党的生命线，是管党治党的重器。5月31日下午，“学思践悟新思想”红途学苑大思政课示范活动在陈云纪念馆举行。市委讲师团成员、华东师范大学教授周敬青以《为新征程全面从严治党提供坚强纪律保障》为题，围绕新修订的《中国共产党纪律处分条例》进行专题授课，对《条例》修订的立法精神、重要内容进行了阐释，并结合大量现实案例对条例进行了逐条分析和深入解读。网页链接,0,0,0,,上海,上海,中国, 从严治党
44,5041119494933551,廉洁上海,2024-06-03 10:00:10,【以彻底的自我革命精神锻造过硬纪检监察铁军】习近平总书记关于党的自我革命的重要思想是习近平新时代中国特色社会主义思想的新篇章，为新征程纵深推进全面从严治党、党风廉政建设和反腐败斗争提供了根本遵循，也为加强纪检监察队伍建设提供了科学指南。纪检监察机关要带头学习贯彻习近平总书记关于党的自我革命的重要思想，以彻底的自我革命精神加强自身建设，锻造忠诚干净担当、敢于善于斗争的纪检监察铁军。（中央纪委国家监委网站）网页链接 以彻底的自我革命精神锻造过硬纪检监察铁军,2,0,2,,上海,上海,中国, 从严治党
50,5038578373754938,大白悟申论,2024-05-27 09:42:38,"公务员考试【高光金句】处在&quot;统领&quot;位置、手中的权力很大，发挥&quot;统揽&quot;作用、肩负的责任很重，具有&quot;统帅&quot;影响、面临的陷阱很多。&quot;一把手&quot;主政一方、掌管一域，肩负着把准方向、把握全局、把住关键的职责使命。腐败问题容易出在&quot;一把手&quot;，监督乏力主要难在&quot;一把手&quot;,从严治党责任落在&quot;一把手&quot;。加强自律是示范班子、引领队伍的大事，必须守好标线、立好标尺、树好标杆。&quot;一把手&quot;不能成为&quot;一霸手&quot;，搞决策&quot;一言堂&quot;、用人&quot;一句话&quot;、花钱&quot;一支笔&quot;。&quot;一把手&quot;不能成为&quot;一扒手&quot;，为了私利贪图享受、贪污受贿、贪赃枉法。&quot;一把手&quot;不能成为&quot;一怕手&quot;，因为怕承担责任、怕丢了&quot;选票&quot;、怕伤了&quot;和气&quot;不敢监督别人、批评别人。坚守正义，涵养对党忠诚的大德、造福人民的公德、严于律己的品德，以信念、人格、实干立身。弘扬正气，迸发凝聚人心的向心力、催生抵御歪风的免疫力，激发锐意进取的战斗力，辐射正己示人的感召力。为人正直，对同志襟怀坦白、光明磊落，对事业坚持原则、恪守规矩，对风气严肃纲纪、嫉恶如仇。加强对&quot;一把手&quot;用人的监督，督促&quot;一把手&quot;贯彻好干部标准，贯彻干部选拔任用工作条例，把选人用人的导向牢牢树起来，使选出的干部组织放心、群众满意、干部服气。加强对&quot;一把手&quot;用权的监督，严肃查处权力出轨、权力失控、权力滥用，督促&quot;一把手&quot;公正用权、依法用权、为民用权、廉洁用权，做到位高不擅权、权重不谋私。加强对&quot;一把手&quot;用钱的监督，严明财经纪律，加强审计监督，规范审批监管，督促&quot;一把手&quot;按制度办事、按原则办事、按程序办事，切实把&quot;好钢用在刀刃上&quot;。坚持不懈抓好思想武装和党性修炼，做&quot;两个确立&quot;的忠诚拥护者、&quot;两个维护&quot;的示范引领者。#写作素材##每日金句##决战省考##国考#",0,0,3,上海,上海,上海,中国, 从严治党
50,5038578083826583,上海国防动员,2024-05-27 09:41:30,市国动办党组在市全面从严治党警示教育基地开展学习教育，举办党纪学习教育交流研讨会 ,0,0,0,,上海,上海,中国, 从严治党
54,5036861871362037,上海规划资源,2024-05-22 16:01:53,【市规划资源局召开全面从严治党警示教育大会暨党纪学习教育专题党课】# 业务动态# 5月17日下午，上海市规划资源局召开全面从严治党警示教育大会暨党纪学习教育专题党课。局党组书记、局长张玉鑫以“学纪知纪明纪守纪，为规划资源事业高质量发展提供坚强纪律保障”为题，为局系统党员干部讲授纪律党课，同步开展警示教育。详情点击【动态】市规划资源局召开全面从严治党警示教育大会暨党纪学习教育专题党课,0,0,0,,上海,上海,中国, 从严治党
55,5016291746778328,上海证券报,2024-03-26 21:43:33,#上证快讯# 【证监会：铲除资本市场腐败问题产生的土壤和条件 强化惩治腐败高压态势】据证监会3月26日消息，近日，证监会召开2024年系统全面从严治党暨纪检监察工作会议。会议分析证监会系统全面从严治党形势，部署2024年重点任务，通报证监会系统近年来查处的重点违纪违法案例，以身边的反面教材开展廉政教育。党委书记、主席吴清作讲话。中央纪委国家监委驻证监会纪检监察组组长、会党委委员樊大志对做好证监会系统纪检监察工作作出部署。证监会：铲除资本市场腐败问题产生的土壤和条件 强化惩治腐败高压态势,2,1,3,,上海,上海,中国, 从严治党
55,5015816435664792,廉洁上海,2024-03-25 14:14:50,#廉洁上海# #一周纪事# 【2024年上海市全面从严治党警示教育大会举行；2人被查......】详见↓↓网页链接 【一周纪事】2024年上海市全面从严治党警示教育大会举行；2人被查... ,25,2,0,,上海,上海,中国, 从严治党
2,5003172508865430,miviya,2024-02-19 16:52:23,胖东来的民主评议就是我党一直以来党内民主集中制的模式，如果党员违规都要按类似这样流程来最后落实，也是每年各基层组织要对党员一年工作生活开展的民主测评 能有多新鲜呐…只是平时少有人提及，也可能少有组织真正落实……导致有些人吧一看到“民主”就想到美西方的模式，无语啦… ,0,1,2,上海,,上海,中国, 党内民主
