页码,微博id,微博作者,发布时间,微博内容,转发数,评论数,点赞数,发布于,ip属地_城市,ip属地_省份,ip属地_国家,打卡记录监督
3,5015814734615979,桃知ou,2024-03-25 14:08:05,记账甜崽の#碎碎念# Hollow宝子们本人的话生活费不固定，结果自己也不知道具体到底花了多少，多次记账结果也没坚持到底，还记假账hh，私密马赛3月开始记账啦，这次一定坚持打卡 ，欢迎监督，以下是四周的支出本月水果奶茶记录，我的话现在克制了一周一次奶茶，甜品🍰的话，每月四次吧嘎嘎喜欢买零食 ！！！[吃馕][吃馕],0,0,0,湖北,武汉,湖北,中国,打卡记录监督
3,5015175780369593,余宇豪世界历史上最重要的人,2024-03-23 19:49:06,#坚持运动打卡#每天早晨，当太阳刚刚升起的时候，我就开始我的运动之旅。无论是跑步、瑜伽还是健身操，我都会选择一项适合自己的运动方式来进行锻炼。而为了更好地监督自己的运动进度，我决定坚持每天打卡记录自己的运动情况。在开始这项挑战之前，我意识到保持运动的持续性并不容易。然而，我坚信只有通过坚持不懈的努力，才能收获健康和活力。因此，我制定了一个详细的计划，包括每周的运动目标和具体的锻炼内容。每天早上，我会在社交媒体上发布自己的运动打卡照片，以此来激励自己继续前进。随着时间的推移，我发现坚持运动打卡不仅仅是一种自我监督的方式，更是一种与他人分享健康生活的方式。每当我看到朋友们在我的打卡照片下留言鼓励时，我就感到无比的温暖和动力。我们相互鼓励、相互支持，共同追求健康的生活方式。,0,1,0,江西,宜春,江西,中国,打卡记录监督
3,5014872566271757,-进击的小迟冲冲冲,2024-03-22 23:44:14,妹妹说，让我每天写感恩日记，记录快乐小事，而且特意叮嘱我要随时记，因为我感知快乐的能力太弱了随时会被消极情绪覆盖掉，还把我微信置顶监督我每天打卡。我说我和你说一些我的消极情绪不会消耗你的能量吗，她说不会，这叫能量流淌，是为了回馈我曾经对她的爱和包容。然后她说，我不够爱自己，不够包容自己，要我每天睡前或者起床鼓励自己十分钟。今晚两小时的视频清空积攒了两周的低落情绪（感恩日记之感恩妹妹小太阳）,0,0,5,上海,上海,上海,中国,打卡记录监督
4,5013663762877749,江苏扬州瘦西湖,2024-03-19 15:40:53,#瘦西湖##湖上梅林##瘦西湖万花园十二景# 【“探秘瘦西湖万花园十二景”打卡活动圆满结束！】“探秘瘦西湖万花园十二景”打卡活动圆满结束啦！回顾过往，我们互相监督，共同成长！分享喜悦，一起记录下收获的时刻！（图片展示为部分中奖者） ,1,1,1,,扬州,江苏,中国,打卡记录监督
4,5012126139682140,学校后边冒烟的山,2024-03-15 09:50:55,#每天摸鱼打卡##最高法工作报告##最高法新闻发布会# 我给大家讲个笑话，请大家不要当真。最高法：打官司不用找人，找不找人都一样，法院都会依法办理。真诚的接受监督，如实的记录下来。 谁敢监督你们？谁敢指名道姓的说你们？ ,0,0,1,山东,济宁,山东,中国,打卡记录监督
4,5011930483266522,战斧小妙_,2024-03-14 20:53:27,2024-3-14，更新3条视频目前粉丝134，涨粉2//一开始没什么太大的功利心，就是好好做下去。我就当做是用视频来记录自己的观点和生活吧，无论火不火，我就想坚持拍下去，一年过后再来看成绩。有没有想做视频号的宝子们可以跟我一起打卡，每天日更，每天可以在评论区留言，咱们互相监督哈哈#小妙的视频日更记录#,1,2,10,陕西,西安,陕西,中国,打卡记录监督
4,5011358356341355,还是那个海韵,2024-03-13 07:00:01,长胖是因为，不知不觉贪吃了，后知后觉又发胖了，管不住嘴，那么就迈开腿，记录运动打卡第二十六天，请继续监督哦! ,0,38,38,江苏,常州,江苏,中国,打卡记录监督
4,5011176046199610,唠捞铹劳,2024-03-12 18:55:35,记录这学期第一次踢球（已经翘了四次了） 太懒了想在微博打卡监督自己每次都要去！ ,0,4,2,上海,上海,上海,中国,打卡记录监督
5,5009377855275585,朝雾曦樱,2024-03-07 19:50:13,我：春天到了，真的要减肥了 我的朋友：来来来我们拉个群，每天发上来健康饮食和运动打卡记录，咱们互相监督 我：好…（内心：不要啊啊啊啊啊） 都怪我这张嘴 ,0,0,0,浙江,杭州,浙江,中国,打卡记录监督
5,5009030257316438,暁车嘀嘀,2024-03-06 20:48:59,好久好久没去瑜伽课了。  今天瑜伽课上的一个姐姐问我怎么这么久没去上课呢？  我说：懒。  姐姐说：她建了一个“阳光美少女们”的群。每天互相监督记录自己的运动打卡和分享心得。  我进群一看，。群里就6个人，姐姐都能想着我。  我胖的是多么有特色啊。  姐姐我爱你。  我会努力的。 ,0,4,0,辽宁,沈阳,辽宁,中国,打卡记录监督
5,5008856124230463,一蓑烟雨9585105,2024-03-06 09:17:03,博君一肖study  监督自己，打卡记录 ,0,0,0,北京,北京,北京,中国,打卡记录监督
5,5007756703039936,用户7555255188,2024-03-03 08:28:20,二战记录打卡监督 第一天 背100个单词 ,0,0,1,河南,周口,河南,中国,打卡记录监督
5,5007269828232473,这拧巴的人生,2024-03-02 00:13:40,打卡群。每天记录孩子们的三个优点。有兴趣的姐妹一起加入，互相监督 ,0,2,2,浙江,温州,浙江,中国,打卡记录监督
5,5007256680667063,是凯丽呀呀,2024-03-01 23:21:26,我需要被监督下，下定决心好好减肥，现在是67公斤，目标99斤，已经过百斤10年了，我希望自己可以做到，所以我从今天好好记录一下 (每天会坚持打卡记录哦) ,0,0,6,安徽,淮北,安徽,中国,打卡记录监督
6,5006541033309668,-小木碎碎念,2024-02-28 23:57:42,2024/02/28 今天满课 全宿舍我一个早八，默默起床去上英语课！ 学校里的肉一点都不好吃 新疆炒米粉换老板啦～ 比以前的还好吃！大盘鸡炒米粉等着我 和妹妹监督打卡背单词 微博也是监督者！！！ 所以，记录第一天 晚安啦！ ,0,0,0,宁夏,银川,宁夏,中国,打卡记录监督
6,5003976662062893,爪哇娜酱酱,2024-02-21 22:07:48,喜欢辣士的来 记录你每天的拉士情况 会有群友监督打卡 争做良好便便排出者 拉啦拉啦 ,0,1,1,黑龙江,哈尔滨,黑龙江,中国,打卡记录监督
6,5003588011299738,_一身都是月_,2024-02-20 20:23:27,淼不柯言24年第一次认真锻炼  有要减肥的宝宝吗，一起监督打卡吧，嘿嘿 拾起快两个月没充电的⌚️来记录时间和热量 ,0,20,3,四川,成都,四川,中国,打卡记录监督
6,5003156414531122,墨儿的话,2024-02-19 15:48:26,嘿！美女，要专心啦，不要做无谓的消耗！记得下次记录时，要有新的收获。收心啦！ 目标：1.每天的运动打卡和声音打卡 2.3万字的文章要出炉 3.看完一本书 4.不耽误日常工作 自我监督，一项完不成，就不能刷手机 ,0,0,0,天津,,天津,中国,打卡记录监督
7,5002511501234172,叫我米米粒儿,2024-02-17 21:05:47,ACCA#acca复习打卡# A考学习第24天今天就是PM AA AAA复习第24天转眼ACCA学习就坚持24天了 明天就要满25 天啦 明天以后大家就要进入自由大家阶段啦今天大家复习的如何呀 大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满25天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接一起加油 用努力赶走焦虑#考试##学习##acca##复习计划##学习打卡##pm##aa##aaa##米米粒儿##跟着米米粒儿 a考不费劲儿#,0,11,9,陕西,咸阳,陕西,中国,打卡记录监督
7,5001085423452887,一等万年,2024-02-13 22:39:02,体重177.1了，暂定个16日戒零食饮料减肥计划。太难的坚持不了，从明天开始，每天打卡记录一下，自我监督。 ,0,0,0,湖南,湘西土家族苗族自治州,湖南,中国,打卡记录监督
7,4996870067455179,MC-c小果冻,2024-02-02 07:28:44,日常打卡第一天； 饮食： 不太正常，老毛病 锻炼：熬到了半夜还是战胜了惰性， 勉勉强强完成。  从今天开始记录一下，也算是对自己的监督。 ,0,0,0,芬兰,,芬兰,芬兰,打卡记录监督
7,4994922507927731,蛋黄年糕耶,2024-01-27 22:29:49,指甲和袜子撞衫了😆波点控 爱波点的一切元素emmm离过年越来越近！瘦到90斤都有点吃力经历而为咯 毕竟健康最重要已经打卡36天了 今天98.8斤离目标差距有点大（目标83）这段时间一直都很认真在减肥 以及记录饮食监督自己 同时在减肥中自己每天也有新的感受感悟 也蛮好减肥是真的难 特别是小基数 就算年前没达到目标 也不会气馁的年后继续就是！90斤也是个坎er至于具体减到多少最后会看身体状况来决定～#蛋黄年糕碎碎念##蛋黄年糕plog##日常碎片plog##减肥日记##减肥打卡#,0,0,1,江苏,苏州,江苏,中国,打卡记录监督
8,4994513512960711,Freya飞呀,2024-01-26 19:24:38,吃了💊 好困 ～ 我们要不整个好好吃饭的打卡 群好好睡觉的监督群吧。行程今天应该是定了 2.3飞芬兰。#vlog##记录生活##好好吃饭# Freya飞呀的微博视频 ,5,61,294,江苏,徐州,江苏,中国,打卡记录监督
8,4988580721856334,苏新皓S112信号日光曲,2024-01-10 10:29:50,苏新皓 #苏新皓 昉昼十七粲熠淬光# 【超管约稿监督群审核通知】为了超话方面约稿可以更好的进行，超管现进行监督群审核。审核要求：❤️审核标准     1️⃣超话等级＞10     2️⃣jz（包括官周）＞1000     3️⃣超管近三个月活动打卡记录不少于三次（是有三个不同活动的打卡记录，并不是一个活动的三次打卡记录）请满足以上条件的灯灯私信以下任意一名志愿者（🍊需要录屏：微博主页到微店/高会订单页面）⚠️切勿重复私信@Moonqnakes_Yee @谁吃完了我的蝴蝶酥s @奴只 @绵羊铲米记 @山茶野绘_ @没有假期_ovo@红茶拿铁_Coisini,52,39,156,天津,,天津,中国,打卡记录监督
8,4987074086961419,厌冬卉,2024-01-06 06:43:00,因为不爱吃饭，懒得吃饭，和人家约定要好好吃饭好好记录打卡。我真的很迷这种下一个任务，没有过程的监督，然后直接检验成果的感觉。被意志力和说到就要做到的信念驱使真的又痛苦又爽。,0,0,0,安徽,合肥,安徽,中国,打卡记录监督
8,4986588105541229,忙着可爱忙着长大的冯胖胖,2024-01-04 22:31:53,2024运动记录⚡ 今天是新年第2️⃣次运动:  【游泳🏊♀️50min+瑜伽🧘80min】 冯胖胖好棒棒，值得一个大鼓励👏👏👏  新年新气象，先来一个减脂运动打卡记录（为了检测监督坚持）。 这些年减肥常挂嘴边且越喊越肥，体重又又又又创新高，这次决心很大，一定要坚持住呀！！！ ,0,4,3,上海,,上海,中国,打卡记录监督
8,4986578927617052,奇妙妙的碎碎念,2024-01-04 21:55:25,#每日阅读打卡记录# 阅读第十三天。其实我今天不想读。但是，我必须读，不能中途懒散。越是不想读的时候，越要打卡监督自己。#第十三天打卡##额尔古纳河右岸# ,0,0,0,辽宁,沈阳,辽宁,中国,打卡记录监督
8,4986212173480214,宋小蕾子,2024-01-03 21:38:03,减肥吃练日常.1  帕梅拉10分钟排队热舞有氧 Eleni Fit 10分钟站立哑铃手臂+腰腹训练 Eleni Fit 10分钟普拉提臀腿训练 Mia杨悠动态腿部拉伸  2024年的第一天打卡 继续记录我的饮食+运动日常 监督自己保持良好的状态 帕梅拉PamelaReif ,0,14,21,陕西,延安,陕西,中国,打卡记录监督
8,4985875987698912,猫与上岸,2024-01-02 23:22:11,墨墨背单词25考研找长期组队，直到考研结束，不鸽的来。本期组队已经找到了了，但不是长期的。私加q/v，建群打卡，互相监督，要求打卡记录，防止鸽子驾到。总结一下：1.要求不鸽2.要求打卡记录，最好一个月以上3.加微信或QQ建群监督。微博组队后就删了，不经常玩，连昵称性别在哪改都要找半天。orz,0,0,0,河南,郑州,河南,中国,打卡记录监督
9,4985292977081927,栗香小焙,2024-01-01 08:45:31,十二个月，达成！本来这个记录是为了监督男友养成喝水习惯，给他买了个大水壶，每天我会选一个小小的事件画下来鼓励他打卡喝水，结果不知不觉内容越发丰富和详细，越画越认真，逐渐变为了记录吃喝和相处的时光，连动物形象都慢慢迭代了。生活由各种小事堆积而成，它们是小事对我来说也是很重要的大事，而看着丰富只是因为我坚持每天记录了，所以大家都可以的。当然，喝水习惯确实也养好了！2023有🐗很开心，2024 🎊启动🔛#焙香猪柳蛋#,204,26,700,福建,厦门,福建,中国,打卡记录监督
9,4984380632081328,JamYaoo,2023-12-29 20:20:11,明日起新一轮打卡，这条微博作为监督记录，断一天戒两天烟#自我监督打卡# ,0,4,0,上海,,上海,中国,打卡记录监督
9,4983218165515850,时髦瞌睡1984,2023-12-26 15:20:57,1000天了记录一下我也不知道自己学了多少感觉没学到很多东西但是我也不知道自己有什么事能让我坚持做下去这个都是和侄女一起相互监督打卡完成的现在这里成为了我的自留地类似于写日记初中高中大学包括结婚后我都写了很多本日记还在我爸妈家里那些日记都还保存着等我老的时候再拿出来看看吧,0,0,1,湖北,孝感,湖北,中国,打卡记录监督
9,4979941568155545,小乐沐匙,2023-12-17 14:20:55,希望能纯母乳喂养宝宝更久一些 每天打卡记录吸奶的日常，所做所想...也是为了能更好的监督自己要到点吸奶，这样做还蛮有效果的。为了宝宝能吃上纯母乳，为了能在上班的时候，能安心背奶...做这些都是需要提前准备的，坚持吖！希望能纯母乳喂养宝宝更久一些！@天猫spectra贝瑞克旗舰店 ,0,0,0,山东,济宁,山东,中国,打卡记录监督
9,4979280994109817,驻外冲浪选手,2023-12-15 18:36:02,#没想到有天跟着殷世航学英语#准备好了每日上支付宝荷包圈搜【殷世航冲刺全英pre】监督殷世航的学习进度，打卡金有我一份。荷包圈里还有各种花式内容，可以无痛攒钱；也可以吃到真实攻略，快上荷包圈一起记录真实美好生活~ ,358,363,474,福建,厦门,福建,中国,打卡记录监督
10,4976706483391472,tkmnork-,2023-12-08 16:05:51,我：我监督你打卡 棍：拉倒吧你连报数都坚持不下来💢 我：…什么报数 棍：你自己搜聊天记录💢💢💢 ,0,2,1,辽宁,沈阳,辽宁,中国,打卡记录监督
10,4976663664001868,Wyttkxstjkwsry,2023-12-08 13:15:42,今天开始运动🐝 打卡记录📝  请监督 ,0,10,0,天津,天津,天津,中国,打卡记录监督
10,4975994340900962,我是热敦敦哈哈哈,2023-12-06 16:56:02,监督的这个手机社交软件不要太现实，居然连广告都模拟出来了  甚至还有网红地打卡的小红书，不要太现实！  和角色们的聊天记录也很日常接地气  比如#白荆回廊##白荆回廊内容共创# ,0,0,0,湖南,益阳,湖南,中国,打卡记录监督
10,4974133525352768,梅溪湖小富婆,2023-12-01 13:41:50,每天都是打工 备课，上课，监督背诵打卡等等等等 不记得多久没有好好记录享受生活了 在这样的空隙中 新尝一个贝果都觉得应该被记录 ,0,0,0,湖南,长沙,湖南,中国,打卡记录监督
10,4973536462504321,要考注会的小沈,2023-11-29 22:09:18,CPA打卡 【CPA打卡】Day1 今天正式开始备考2024CPA 开始记录自己备考日常 坚持坚持 欢迎大家一起监督 一起备考哈哈哈 ,0,1,9,江苏,南通,江苏,中国,打卡记录监督
11,4973195119821593,用户7877491091,2023-11-28 23:32:57,记录一下 我的特种兵计划（一直在路上从未开始 下周监督我的小工打卡 ,0,1,2,辽宁,沈阳,辽宁,中国,打卡记录监督
11,4971276879795529,没丸-打怪发财版,2023-11-23 16:30:33,在另一个号自己监督自己每天记录攒钱日常 偶然收获了一个小粉丝 真的很可爱，把发过的每一条都回复了，还和我一起打卡，md女孩子就是最可爱的 当然，也感觉多了一个人监督我突然有了一种‘责任感’（bushi） ,0,0,0,浙江,杭州,浙江,中国,打卡记录监督
11,4970245634916499,叫我米米粒儿,2023-11-20 20:12:44,ACCA#acca复习打卡# A考学习第29天今天就是PM AA AAA复习第29天突然发现明天最后一天打卡了 以后大家就可以进入自由复习状态啦大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,0,14,14,陕西,咸阳,陕西,中国,打卡记录监督
11,4969919290017489,叫我米米粒儿,2023-11-19 22:35:58,ACCA#acca复习打卡# A考学习第28天今天就是PM AA AAA复习第28天妈呀，我结结实实改写了一天真题的答案，以至于一抬头发现都晚上10点半了大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,0,11,5,陕西,咸阳,陕西,中国,打卡记录监督
11,4969169011348705,叫我米米粒儿,2023-11-17 20:54:38,ACCA#acca复习打卡# A考学习第26天今天就是PM AA AAA复习第26天大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,0,12,2,陕西,咸阳,陕西,中国,打卡记录监督
11,4968806638422276,叫我米米粒儿,2023-11-16 20:54:41,ACCA#acca复习打卡# A考学习第25天今天就是PM AA AAA复习第25天今天开始准备PM AA AAA的串讲资料啦估计大家已经很累了 但是要咬牙坚持啦大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,0,13,1,陕西,咸阳,陕西,中国,打卡记录监督
11,4968075957109389,叫我米米粒儿,2023-11-14 20:31:13,ACCA#acca复习打卡# A考学习第23天今天就是PM AA AAA复习第23天昨天研究考官的判卷技巧，今天就真枪核弹的改了一天PM AA AAA试卷，明天要撰写考试报告和录制相关视频大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,2,21,8,陕西,咸阳,陕西,中国,打卡记录监督
11,4967713583667287,叫我米米粒儿,2023-11-13 20:31:17,ACCA#acca复习打卡# A考学习第22天今天就是PM AA AAA复习第22天大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦今天学习了一天的PM AA AAA判卷技巧 弄得我头晕脑胀 今天决定早点离开工作室 早点回家打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,1,17,8,陕西,咸阳,陕西,中国,打卡记录监督
11,4967597931233755,江南小丸紫,2023-11-13 12:51:43,#特别陪伴杨紫何惟芳160天# 写毛笔🖌️字、有氧运动🏃🏻♀️(是一直坚持在做的事情)  妹宝开工日开始记录打卡，再➕画画  阅读  以此为证，和优秀妹宝一起努力 请妹宝@杨紫 和紫米宝子们监督  #杨紫何惟芳# ｜#杨紫国色芳华# ,1,5,43,北京,北京,北京,中国,打卡记录监督
11,4967361803191696,小胡养生记录,2023-11-12 21:13:26,1.养生博 分享记录自己养生的过程  2.各位老公可以分享自己的养生经验或者变化 3.监督各位姐妹们养生打卡 4.多读书多看报多睡觉 5.是女的 ,0,0,0,浙江,宁波,浙江,中国,打卡记录监督
12,4966991050575110,叫我米米粒儿,2023-11-11 20:40:11,ACCA#acca复习打卡# A考学习第20天今天就是PM AA AAA复习第20天大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦明天PM AA AAA又要模考了 大家记得先计时做自测体预热一下呀打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,1,16,5,陕西,咸阳,陕西,中国,打卡记录监督
12,4966632889781465,叫我米米粒儿,2023-11-10 20:56:59,ACCA#acca复习打卡# A考学习第19天今天就是PM AA AAA复习第19天大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦转眼这周末PM AA AAA又要模考了 大家要积极准备呀打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿#,2,16,4,陕西,咸阳,陕西,中国,打卡记录监督
12,4965914100107782,叫我米米粒儿,2023-11-08 21:20:46,ACCA#acca复习打卡# A考学习第17天今天就是PM AA AAA复习第17天大家推进的如何了？？大家可以留言可评论自己的复习进度【eg:刷题数量 完成的页码】用留言就记录学习，相互监督，也欢迎其他科目的小可爱一起参与哦最近自己也有一点焦头烂额的 不过好消息是今天在天津见到了自己的往期小可爱 看到了学员珍藏的往期教材 以及收到了学员的手串打卡满30天即可添加微信号: peitais，兑换米米粒儿专属笔记本一本。PM复习计划 网页链接AA复习计划 网页链接AAA复习计划 网页链接跟着米米粒儿一起加油 用努力赶走焦虑#考试##学习##acca##跟着米米粒儿 a考不费劲儿##米米粒儿# 天津,0,20,13,天津,天津,天津,中国,打卡记录监督
12,4965869136380502,王星,2023-11-08 18:22:06,每个人都会经历的自我鞭策，妥协，矛盾，继而阶段性战胜自己，挑战自己，打卡，接受监督，向宇宙下订单。诸如此类。今天立冬，不用吃饺子。立冬预示着一年的尾端。而此时此刻是傍晚，是一天的尾端。静下来思维一下每天的收获。有没有哪些有价值的可记录下来的东西，哪怕提升了思想的新高度，哪怕遇到的哪位高人的点拨。哪怕是让自己遇事更平静，吃了无负担的美味，或者听到震撼心灵的歌词,0,0,0,安徽,合肥,安徽,中国,打卡记录监督
12,4965836389352596,偏爱与光,2023-11-08 16:11:59,背背背 背单词咯  打卡记录一下 监督自己 #出圈吧大学生# ,0,9,27,河南,安阳,河南,中国,打卡记录监督
